96 213.39.228.238 1196137565  Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
97 213.39.228.238 1196137672  Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
98 213.39.228.238 1196137677  Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
99 213.39.228.238 1196137714 http://freemee.de/junkjet/test2.php?now=1196137677&domain=213.39.228.238&point.x=99&point.y=96 Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
100 213.39.228.238 1196137733 http://freemee.de/junkjet/test2.php?now=1196137677&domain=213.39.228.238&point.x=99&point.y=96 Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
101 213.39.228.238 1196137896 http://freemee.de/junkjet/test2.php?now=1196137677&domain=213.39.228.238&point.x=99&point.y=96 Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
102 213.39.228.238 1196137902 http://freemee.de/junkjet/index.php?status=added Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
103 213.39.228.238 1196138069 http://freemee.de/junkjet/index.php?status=added Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
104 213.39.228.238 1196138072 http://freemee.de/junkjet/index.php Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
105 213.39.228.238 1196138079 http://freemee.de/junkjet/index.php?status= Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
106 213.39.228.238 1196138085 http://freemee.de/junkjet/test2.php?now=1196138079&domain=213.39.228.238&point.x=101&point.y=65 Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
107 213.39.228.238 1196138088 http://freemee.de/junkjet/index.php?status=added Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
108 213.39.228.238 1196138168 http://freemee.de/junkjet/index.php?status=added Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
109 213.39.228.238 1196138175 http://freemee.de/junkjet/index.php?status= Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
110 213.39.228.238 1196138181 http://freemee.de/junkjet/test2.php?now=1196138175&domain=213.39.228.238&point.x=107&point.y=91 Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
111 213.39.228.238 1196138184 http://freemee.de/junkjet/index.php?status=added Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
112 213.39.228.238 1196138186 http://freemee.de/junkjet/index.php?status=added Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
113 213.39.228.238 1196138187 http://freemee.de/junkjet/index.php?status=added Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
114 213.39.228.238 1196138187 http://freemee.de/junkjet/index.php?status=added Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
115 213.39.228.238 1196138259 http://freemee.de/junkjet/index.php?status=added Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
78 213.39.228.238 1196138330 http://freemee.de/junkjet/index.php?status=added Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
79 213.39.228.238 1196138490 http://freemee.de/junkjet/index.php?status=added Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
80 213.39.228.238 1196138620 http://freemee.de/junkjet/index.php?status=added Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
81 213.39.228.238 1196138648 http://freemee.de/junkjet/index.php?status=added Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
82 213.39.228.238 1196138687 http://freemee.de/junkjet/index.php?status=added Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
